Mean Interarrival Time,Mean Service Time,Number of Terminals,Mean Avg Waiting Time,Std Average Waiting Time,Mean Customers Delayed,Std Customers Delayed,Mean Percentage > 5min Delay,Std Percentage > 5min Delay,Mean Percentage < 4min Delay,Std Percentage < 4min Delay
5,5,1,43,27,178,12,83.1,11.2,15.3,10.2
5,5,2,2,1,192,14,11.8,5.6,85.6,5.9
5,5,3,0,0,193,14,1.2,1.5,98.1,1.9
5,5,4,0,0,193,14,0.1,0.4,99.8,0.5
5,5,5,0,0,192,14,0.0,0.0,100.0,0.1
5,6,1,93,39,157,12,93.2,5.7,6.2,5.2
5,6,2,3,2,192,14,22.4,9.1,74.3,9.1
5,6,3,0,0,192,14,2.9,2.6,96.0,3.0
5,6,4,0,0,193,14,0.3,0.7,99.5,0.9
5,6,5,0,0,192,14,0.0,0.2,99.9,0.3
5,7,1,141,44,136,11,95.7,3.7,3.9,3.4
5,7,2,6,4,191,14,35.4,11.5,61.2,11.1
5,7,3,1,1,192,14,6.3,4.6,92.1,4.9
5,7,4,0,0,192,13,0.9,1.4,98.7,1.7
5,7,5,0,0,192,14,0.1,0.4,99.8,0.5
5,8,1,181,44,120,11,96.5,2.9,3.2,2.7
5,8,2,12,9,189,13,51.3,15.1,45.8,14.5
5,8,3,1,1,192,14,11.0,6.3,86.8,6.7
5,8,4,0,0,193,14,1.9,2.2,97.4,2.5
5,8,5,0,0,193,14,0.3,0.8,99.5,1.0
5,9,1,214,46,107,10,96.8,2.6,3.0,2.4
5,9,2,23,17,185,12,66.8,15.5,31.1,14.7
5,9,3,3,2,192,14,17.4,8.6,80.0,8.8
5,9,4,0,0,193,14,3.6,3.2,95.3,3.5
5,9,5,0,0,193,14,0.6,1.1,99.1,1.4
5,10,1,237,46,97,9,96.9,2.4,2.9,2.3
5,10,2,42,28,179,11,80.0,13.1,18.6,12.2
5,10,3,4,2,192,14,24.5,10.5,72.8,10.6
5,10,4,1,1,192,14,6.0,4.6,92.6,4.9
5,10,5,0,0,193,14,1.3,1.9,98.3,2.2
5,11,1,259,43,88,9,97.1,2.0,2.7,1.8
5,11,2,68,36,168,11,87.8,9.9,11.4,9.3
5,11,3,6,5,190,13,34.1,13.3,63.0,13.1
5,11,4,1,1,192,14,9.4,6.2,88.8,6.6
5,11,5,0,0,192,14,2.2,2.6,97.2,2.9
5,12,1,274,42,80,9,96.9,2.3,2.9,2.1
5,12,2,92,42,157,11,91.0,7.5,8.4,7.0
5,12,3,10,8,189,13,45.1,15.3,52.2,14.9
5,12,4,2,2,192,14,13.5,7.8,84.5,8.2
5,12,5,0,0,193,14,3.5,3.4,95.6,3.7
5,13,1,290,46,75,8,96.9,2.2,2.9,2.1
5,13,2,114,43,147,12,92.9,5.7,6.6,5.3
5,13,3,17,14,188,12,56.5,17.0,41.1,16.3
5,13,4,3,2,191,14,19.1,9.9,78.7,10.1
5,13,5,1,1,192,14,5.4,4.7,93.5,5.0
5,14,1,302,45,70,8,97.0,2.0,2.9,1.9
5,14,2,141,44,136,11,93.9,4.7,5.7,4.4
5,14,3,26,20,184,12,66.9,17.0,31.1,16.1
5,14,4,5,3,192,13,26.0,11.8,71.5,11.8
5,14,5,1,1,192,14,8.0,5.7,90.6,6.1
6,5,1,19,13,156,12,64.2,13.5,33.0,12.6
6,5,2,1,1,160,12,7.5,4.5,90.5,5.0
6,5,3,0,0,160,13,0.7,1.2,98.9,1.4
6,5,4,0,0,160,12,0.0,0.2,99.9,0.3
6,5,5,0,0,162,12,0.0,0.0,100.0,0.1
6,6,1,49,31,147,10,83.6,11.3,15.1,10.4
6,6,2,2,1,160,12,13.6,6.4,83.8,6.7
6,6,3,0,0,161,13,1.6,1.8,97.7,2.2
6,6,4,0,0,161,13,0.1,0.5,99.7,0.7
6,6,5,0,0,161,12,0.0,0.1,100.0,0.2
6,7,1,91,43,133,11,91.8,7.5,7.5,6.9
6,7,2,3,2,160,13,21.9,9.0,75.2,9.1
6,7,3,0,0,161,12,3.5,3.0,95.5,3.4
6,7,4,0,0,160,13,0.4,0.9,99.4,1.1
6,7,5,0,0,160,12,0.0,0.2,99.9,0.3
6,8,1,130,47,118,11,94.6,4.9,5.0,4.5
6,8,2,6,4,160,12,33.3,11.6,63.6,11.5
6,8,3,1,1,161,12,6.2,4.4,92.4,4.7
6,8,4,0,0,160,13,1.0,1.6,98.6,1.9
6,8,5,0,0,161,13,0.1,0.5,99.8,0.6
6,9,1,162,50,107,10,95.7,3.7,4.1,3.4
6,9,2,10,7,159,12,45.2,14.2,51.9,13.8
6,9,3,1,1,160,13,9.8,5.7,88.3,6.2
6,9,4,0,0,161,13,1.5,2.0,97.9,2.3
6,9,5,0,0,161,12,0.3,0.7,99.6,0.9
6,10,1,193,49,95,10,96.1,3.1,3.6,2.9
6,10,2,17,13,156,12,57.7,15.9,39.9,15.2
6,10,3,2,2,160,12,14.7,8.2,83.2,8.5
6,10,4,0,0,161,13,2.9,2.9,96.3,3.2
6,10,5,0,0,160,13,0.5,1.1,99.3,1.3
6,11,1,217,49,88,9,96.1,3.3,3.6,3.0
6,11,2,29,21,153,11,69.7,15.8,28.6,15.0
6,11,3,3,2,160,13,20.6,10.0,77.0,10.1
6,11,4,1,1,160,12,4.7,4.1,94.3,4.5
6,11,5,0,0,160,12,0.9,1.4,98.8,1.7
6,12,1,241,47,80,9,96.6,2.5,3.3,2.4
6,12,2,44,28,149,10,79.5,13.2,19.2,12.4
6,12,3,5,3,159,13,26.7,11.6,70.9,11.6
6,12,4,1,1,160,13,6.8,5.0,91.9,5.3
6,12,5,0,0,160,13,1.6,2.3,98.0,2.5
6,13,1,257,49,74,8,96.6,2.5,3.3,2.4
6,13,2,64,37,141,10,84.8,11.2,14.2,10.4
6,13,3,7,5,160,13,35.3,13.5,62.3,13.4
6,13,4,1,1,160,12,10.0,7.0,88.5,7.4
6,13,5,0,0,161,13,2.5,2.8,96.8,3.1
6,14,1,272,50,69,8,96.5,2.5,3.3,2.3
6,14,2,84,41,134,10,89.1,8.7,10.3,8.1
6,14,3,11,9,159,11,44.9,15.8,52.7,15.4
6,14,4,2,2,160,13,13.8,8.3,84.3,8.6
6,14,5,1,1,160,12,3.7,3.7,95.5,4.1
7,5,1,11,6,136,12,50.8,12.7,45.9,12.2
7,5,2,1,0,138,12,5.0,3.6,93.5,3.9
7,5,3,0,0,138,12,0.4,0.8,99.4,1.0
7,5,4,0,0,138,12,0.0,0.2,100.0,0.2
7,5,5,0,0,137,12,0.0,0.0,100.0,0.0
7,6,1,25,18,133,10,69.3,14.2,28.4,13.4
7,6,2,1,1,138,12,9.4,5.4,88.5,5.8
7,6,3,0,0,138,12,1.0,1.4,98.6,1.7
7,6,4,0,0,137,12,0.1,0.4,99.9,0.5
7,6,5,0,0,138,11,0.0,0.1,100.0,0.2
7,7,1,52,32,126,10,83.5,11.4,15.3,10.7
7,7,2,2,1,138,12,15.9,7.4,81.7,7.7
7,7,3,0,0,138,12,2.0,2.3,97.3,2.6
7,7,4,0,0,139,12,0.2,0.7,99.6,0.8
7,7,5,0,0,138,12,0.0,0.2,100.0,0.2
7,8,1,85,43,115,10,90.1,8.5,9.2,7.9
7,8,2,4,2,137,11,23.2,9.3,74.1,9.4
7,8,3,1,0,138,12,3.7,3.1,95.4,3.5
7,8,4,0,0,138,12,0.5,1.0,99.2,1.3
7,8,5,0,0,137,12,0.1,0.3,99.9,0.4
7,9,1,119,49,105,10,93.4,5.8,6.1,5.4
7,9,2,6,4,138,12,32.5,11.7,64.7,11.6
7,9,3,1,1,138,12,6.1,4.7,92.6,5.0
7,9,4,0,0,137,11,1.0,1.6,98.7,1.9
7,9,5,0,0,137,12,0.1,0.5,99.8,0.7
7,10,1,151,52,95,9,94.8,4.5,4.9,4.2
7,10,2,9,6,135,11,40.7,13.7,56.7,13.4
7,10,3,1,1,138,12,9.3,5.9,89.1,6.2
7,10,4,0,0,138,11,1.6,2.2,97.8,2.4
