Mean inter-call time at X,Mean inter-call time at Y,Mean call length time,Telephony System,Channels from X to Y,Channels from Y to X,Total calls originated,Total calls patched (mean),Total calls patched (std),Total calls blocked (mean),Total calls blocked (std),Percentage calls blocked (mean),Percentage calls blocked (std),Average Channel Utilisation (mean),Average Channel Utilisation (std)
12,15,300,1,11,11,1000,475.0,23.0,525.0,23.0,52.5,2.3,91.7,0.8
12,15,300,1,11,12,1000,487.0,21.0,513.0,21.0,51.3,2.1,91.4,0.9
12,15,300,1,11,13,1000,507.0,27.0,493.0,27.0,49.3,2.7,90.8,1.0
12,15,300,1,11,14,1000,524.0,22.0,476.0,22.0,47.6,2.2,90.1,1.1
12,15,300,1,11,15,1000,544.0,21.0,456.0,21.0,45.6,2.1,89.8,1.0
12,15,300,1,11,16,1000,559.0,24.0,441.0,24.0,44.1,2.4,89.1,1.4
12,15,300,1,11,17,1000,572.0,27.0,428.0,27.0,42.8,2.7,88.0,1.4
12,15,300,1,11,18,1000,592.0,27.0,408.0,27.0,40.8,2.7,87.6,1.4
12,15,300,1,11,19,1000,607.0,23.0,393.0,23.0,39.3,2.3,86.5,1.6
12,15,300,1,11,20,1000,615.0,22.0,385.0,22.0,38.5,2.2,85.4,1.8
12,15,300,1,11,21,1000,627.0,22.0,373.0,22.0,37.3,2.2,84.5,1.9
12,15,300,1,11,22,1000,639.0,21.0,361.0,21.0,36.1,2.1,83.4,2.1
12,15,300,1,11,23,1000,649.0,20.0,351.0,20.0,35.1,2.0,81.7,2.0
12,15,300,1,11,24,1000,655.0,19.0,345.0,19.0,34.5,1.9,80.2,2.1
12,15,300,1,11,25,1000,663.0,22.0,337.0,22.0,33.7,2.2,79.5,2.6
12,15,300,1,11,26,1000,667.0,22.0,333.0,22.0,33.3,2.2,77.3,2.5
12,15,300,1,11,27,1000,675.0,24.0,325.0,24.0,32.5,2.4,75.9,2.5
12,15,300,1,11,28,1000,672.0,20.0,328.0,20.0,32.8,2.0,74.0,2.8
12,15,300,1,11,29,1000,678.0,23.0,322.0,23.0,32.2,2.3,73.5,2.6
12,15,300,1,11,30,1000,678.0,19.0,322.0,19.0,32.2,1.9,71.2,2.9
12,15,300,1,12,11,1000,491.0,22.0,509.0,22.0,50.9,2.2,91.5,0.9
12,15,300,1,12,12,1000,509.0,25.0,491.0,25.0,49.1,2.5,91.2,0.9
12,15,300,1,12,13,1000,530.0,26.0,470.0,26.0,47.0,2.6,90.7,1.0
12,15,300,1,12,14,1000,546.0,22.0,454.0,22.0,45.4,2.2,90.2,1.0
12,15,300,1,12,15,1000,564.0,22.0,436.0,22.0,43.6,2.2,89.6,1.2
12,15,300,1,12,16,1000,582.0,25.0,418.0,25.0,41.8,2.5,88.9,1.5
12,15,300,1,12,17,1000,596.0,19.0,404.0,19.0,40.4,1.9,88.4,1.2
12,15,300,1,12,18,1000,614.0,26.0,386.0,26.0,38.6,2.6,87.2,1.5
12,15,300,1,12,19,1000,625.0,25.0,375.0,25.0,37.5,2.5,86.7,1.8
12,15,300,1,12,20,1000,639.0,21.0,361.0,21.0,36.1,2.1,85.4,1.8
12,15,300,1,12,21,1000,650.0,23.0,350.0,23.0,35.0,2.3,84.2,1.9
12,15,300,1,12,22,1000,653.0,20.0,347.0,20.0,34.7,2.0,83.4,1.8
12,15,300,1,12,23,1000,672.0,20.0,328.0,20.0,32.8,2.0,81.9,2.4
12,15,300,1,12,24,1000,676.0,21.0,324.0,21.0,32.4,2.1,80.6,2.3
12,15,300,1,12,25,1000,683.0,22.0,317.0,22.0,31.7,2.2,79.1,2.5
12,15,300,1,12,26,1000,686.0,24.0,314.0,24.0,31.4,2.4,78.0,2.7
12,15,300,1,12,27,1000,690.0,23.0,310.0,23.0,31.0,2.3,76.5,2.4
12,15,300,1,12,28,1000,696.0,21.0,304.0,21.0,30.4,2.1,74.5,2.7
12,15,300,1,12,29,1000,704.0,21.0,296.0,21.0,29.6,2.1,73.5,2.8
12,15,300,1,12,30,1000,695.0,19.0,305.0,19.0,30.5,1.9,71.7,2.6
12,15,300,1,13,11,1000,510.0,24.0,490.0,24.0,49.0,2.4,91.4,0.8
12,15,300,1,13,12,1000,527.0,22.0,473.0,22.0,47.3,2.2,91.1,0.8
12,15,300,1,13,13,1000,550.0,25.0,450.0,25.0,45.0,2.5,90.5,0.9
12,15,300,1,13,14,1000,567.0,23.0,433.0,23.0,43.3,2.3,90.0,0.9
12,15,300,1,13,15,1000,581.0,27.0,419.0,27.0,41.9,2.7,89.6,1.1
12,15,300,1,13,16,1000,601.0,26.0,399.0,26.0,39.9,2.6,88.9,1.2
12,15,300,1,13,17,1000,622.0,26.0,378.0,26.0,37.8,2.6,88.1,1.2
12,15,300,1,13,18,1000,637.0,25.0,363.0,25.0,36.3,2.5,87.4,1.3
12,15,300,1,13,19,1000,643.0,23.0,357.0,23.0,35.7,2.3,86.6,1.5
12,15,300,1,13,20,1000,661.0,24.0,339.0,24.0,33.9,2.4,85.5,1.8
12,15,300,1,13,21,1000,670.0,24.0,330.0,24.0,33.0,2.4,84.4,2.0
12,15,300,1,13,22,1000,678.0,24.0,322.0,24.0,32.2,2.4,83.5,1.9
12,15,300,1,13,23,1000,691.0,23.0,309.0,23.0,30.9,2.3,82.3,1.9
12,15,300,1,13,24,1000,697.0,25.0,303.0,25.0,30.3,2.5,81.1,2.2
12,15,300,1,13,25,1000,704.0,22.0,296.0,22.0,29.6,2.2,79.2,2.3
12,15,300,1,13,26,1000,708.0,19.0,292.0,19.0,29.2,1.9,77.7,2.6
12,15,300,1,13,27,1000,710.0,23.0,290.0,23.0,29.0,2.3,76.4,2.6
12,15,300,1,13,28,1000,715.0,22.0,285.0,22.0,28.5,2.2,75.6,2.6
12,15,300,1,13,29,1000,715.0,22.0,285.0,22.0,28.5,2.2,73.5,2.5
12,15,300,1,13,30,1000,720.0,18.0,280.0,18.0,28.0,1.8,71.9,2.8
12,15,300,1,14,11,1000,531.0,24.0,469.0,24.0,46.9,2.4,91.2,0.8
12,15,300,1,14,12,1000,547.0,22.0,453.0,22.0,45.3,2.2,90.8,0.8
12,15,300,1,14,13,1000,571.0,26.0,429.0,26.0,42.9,2.6,90.3,0.9
12,15,300,1,14,14,1000,586.0,24.0,414.0,24.0,41.4,2.4,90.0,1.0
12,15,300,1,14,15,1000,606.0,24.0,394.0,24.0,39.4,2.4,89.3,1.1
12,15,300,1,14,16,1000,618.0,24.0,382.0,24.0,38.2,2.4,88.8,1.0
